"OBJECTID,N,10,0","NAME,C,80","STATUS,C,50","WATERSHED,C,50","COUNCIL_DI,C,5","PRIMARY_FE,C,50","SW_TREE_TR,C,50","SW_PLANTER,C,50","SW_BUMPOUT,C,50","RAIN_GARDE,C,50","SW_BASIN,C,50","INFILTRATI,C,50","POROUS_PAV,C,50","SWALE,C,50","SW_WETLAND,C,50","CISTERN_RA,C,50","GREEN_ROOF,C,50","OTHER,C,50","LINK,C,254","LONGITUDE,N,19,8","LATITUDE,N,19,8","LINK_1,C,100","LINK_2,C,100"
863,St Thomas Aquinas School,In Design,Schuylkill River Watershed,2,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,Infiltration Storage Trench,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.17414012,39.93038986,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
864,St. Dominic School,In Design,Pennypack Creek Watershed,10,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.01621600,40.04592400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
890,West Mill Creek Farm Swales,Constructed,Schuylkill River Watershed,3,Rain Garden,$,$,$,Rain Garden,$,$,$,Swale,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/mill_creek_farm,-75.21860927,39.96634439,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/mill_creek_farm
891,West Mill Creek Recreation Center,Constructed,Schuylkill River Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/mill_creek_tree_trench,-75.22294313,39.96732255,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/mill_creek_tree_trench
892,Westmoreland and Tulip,In Design,Delaware River Watershed,1,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.10489400,39.99092300,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
893,William Cramp School,In Design,Delaware River Watershed,7,Other,$,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools,-75.13005400,40.00238000,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools
894,William Cramp School,In Design,Delaware River Watershed,7,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.13007855,40.00206510,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
895,William Dick Elementary,In Design,Delaware River Watershed,5,Rain Garden,Stormwater Tree Trench,$,$,Rain Garden,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/rain_garden,-75.17395000,39.98643000,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden
896,William Gray Youth Center,In Design,Delaware River Watershed,5,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15387261,39.97773800,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
897,William Harrity School,In Design,Darby Cobbs Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.23611020,39.94890810,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
898,Wilson Park (Smith Playground),In Design,Schuylkill River Watershed,2,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.18660904,39.92528443,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
899,Windrim Ave from Wayne Ave to Germantown Ave,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Bumpout,Stormwater Tree Trench,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.15950224,40.02234323,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
900,Wissahickon Charter School,Constructed,Schuylkill River Watershed,4,Rain Garden,$,$,$,Rain Garden,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/wissahickon_charter,-75.17245731,40.01566736,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/wissahickon_charter
901,Wister Woods Park,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Basin,$,$,$,$,Stormwater Basin,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_basin,-75.15573676,40.03613344,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_basin
902,Womrath Park,In Design,Tookany-Tacony/Frankford Creek Watershed,7,Rain Garden,$,$,$,Rain Garden,$,$,$,Swale,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/womrath_park,-75.09061133,40.00861634,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/womrath_park
903,Woodland Ave (Tiger III),In Design,Schuylkill River Watershed,2 & 3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.22900000,39.92900000,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
870,Tacony Creek Reaches 4/5,In Design,Tookany-Tacony/Frankford Creek Watershed,7,Rain Garden,$,$,$,Rain Garden,$,$,$,Swale,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/rain_garden,-75.10451300,40.01992400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden
871,Taggert School,In Design,Delaware River Watershed,1,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15543212,39.91707048,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
872,Thompson St and Columbia Ave,In Design,Delaware River Watershed,5,Stormwater Bumpout,Stormwater Tree Trench,$,Stormwater Bumpout,$,$,Infiltration Storage Trench,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.13124078,39.97165193,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
873,"Thompson, Conestoga",In Design,Schuylkill River Watershed,"4,3",Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.23009600,39.97313300,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
874,"Thompson, Conestoga",In Design,Schuylkill River Watershed,"4,3",Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.22340100,39.97326400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
875,Towey Recreation Center,In Design,Delaware River Watershed,7,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.13511921,39.97852158,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
876,Trenton Ave and Norris St,In Design,Delaware River Watershed,1,Rain Garden,Stormwater Tree Trench,$,$,Rain Garden,$,Infiltration Storage Trench,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/rain_garden,-75.13181409,39.97956072,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden
877,Union Hill,Constructed,Schuylkill River Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,Other Project,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.20170806,39.96586978,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
878,Upland Way,In Design,Schuylkill River Watershed,4,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.24154400,39.98534700,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
879,Vacant Land - 2301 Gratz Street,Constructed,Delaware River Watershed,5,Other,$,$,$,$,$,$,$,$,$,$,$,Other Project,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools,-75.16312287,39.98890072,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools
880,Vacant Land - 3rd and Norris Streets,Constructed,Delaware River Watershed,7,Other,$,$,$,$,$,$,$,$,$,$,$,Other Project,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools,-75.13969203,39.98098006,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools
881,Vacant Land - 5th and Norris Streets,Constructed,Delaware River Watershed,7,Other,$,$,$,$,$,$,$,$,$,$,$,Other Project,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools,-75.14254675,39.98134637,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools
882,Vacant Land - 7th St and Germantown Ave,Constructed,Delaware River Watershed,5,Other,$,$,$,$,$,$,$,$,$,$,$,Other Project,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools,-75.14512691,39.98648618,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools
883,Wagner Louis Middle School,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.14767900,40.05179500,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
884,Wakefield Park,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Rain Garden,$,$,$,Rain Garden,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/rain_garden,-75.15063659,40.03336282,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden
885,Wakisha Charter School,In Design,Delaware River Watershed,5,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15071962,39.97410429,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
