3,4740 WOODLAND AVE,5-12,48th & Woodland Playground,39.9421216,-75.2096958
4,1900 WAKELING ST,2-12,Gambrell Playground,40.0163010,-75.0747284
5,400-32 E INDIANA AVE,2-12,Hissey Playground,39.9946573,-75.1238326
6,1101 N 38TH ST,2-12,Claybord & Lewis Playground,39.9732866,-75.1992333
7,9152 ACADEMY RD,2-12,Holme Playground,40.0560280,-75.0085363
8,1737-39 FRANCIS ST,2-5,Francisville Playground,39.9686968,-75.1668711
9,6000 RISING SUN AVE,2-12,Lawncrest Recreation Center,40.0454567,-75.1010108
10,11061 KNIGHTS RD,2-12,Chalfont Playground,40.0804280,-74.9763818
11,7301 TORRESDALE AVE,2-12,Russo Park Playground,40.0333921,-75.0281150
12,601 E INDIANA AVE,2-5,McPearson Square,39.9941806,-75.1199716
13,1315-21 N 04TH ST,2-5,Hart Playground,39.9509320,-75.1465280
14,200 N 06TH ST,2-12,Franklin Square,39.9551560,-75.1510959
15,147 MASTER ST,2-5,Hancock/St John's Playground,39.9721920,-75.1370784
16,113-23 W ONTARIO ST,2-12,Schmidt Playground,40.0015549,-75.1279615
17,5200 N PENN ST,2-12,McIlvain Playground,40.0235549,-75.0799882
18,300 SHUNK ST,2-12,Murphy Park,39.9153040,-75.1540210
19,11701 THORNTON RD,2-12,Palmer Playground,40.0957546,-74.9911954
20,608-16 N 37TH ST,5-12,37th & Mt Vernon Playground,39.9586038,-75.1951006
21,851 W OLNEY AVE,2-12,Cherashore Playground,40.0371424,-75.1358498
22,1200 WHARTON ST,2-12,Columbus/ Di Prospero Playground,39.9331550,-75.1647760
23,9550 FRANKFORD AVE,2-12,Torresdale Playground,40.0582728,-74.9976211
24,1501 E BRISTOL ST,2-12,Piccoli Playground,40.0118420,-75.0977219
25,3694 CHESTERFIELD RD,2-12,Mitchell Playground,40.0687326,-74.9923556
26,706-12 N 03RD ST,2-5,Northern Liberties Playground,39.9505850,-75.1457975
27,3267-81 ALMOND ST,2-12,Frank Glavin Playground,39.9865224,-75.1018189
28,6801 GROVERS AVE,2-12,James Finnegan Playground,39.9158199,-75.2302018
29,1801 MEADOW ST,2-5,Wilmot Park,40.0136394,-75.0802314
30,5072 OGDEN ST,2-12,West Mill Creek Playground,39.9673442,-75.2224273
31,88 E HAINES ST,2-12,Morton Playground,40.0392930,-75.1747010
32,8101 BUSTLETON AVE,2-12,Rhawnhurst Recreation Center,40.0613143,-75.0518302
33,856 N LAWRENCE ST,2-12,Community Park,39.9653570,-75.1452800
34,5710-18 GERMANTOWN AVE,2-12,Vernon Park,40.0360250,-75.1754330
35,2502-12 N HOWARD ST,2-12,Waterloo Playground,39.9880125,-75.1326047
36,311-17 DELANCEY ST,2-12,Delancey Park,39.9441800,-75.1477080
