113,Frankford & Pennypack Park,1,4400 PENNYPACK ST,19136,40.0470323,-75.0134850
114,Powers Park,2,2987 ALMOND ST,19134,39.9829919,-75.1085595
115,Gold Star Park,7,613 WHARTON ST,19147,39.9326710,-75.1556452
116,Hawthorne Park,7,750 S 12TH ST,19147,39.9407612,-75.1625120
117,Tolentine Community Park,7,1025-33 MIFFLIN ST,19148,39.9236143,-75.1450901
118,Cedar Park,8,4917-53 BALTIMORE AVE,19143,39.9480380,-75.2224035
119,75th & Chelwynde Park,8,2604 ISLAND AVE,19153,39.9105881,-75.2426245
120,Palmer Park,2,1701-21 FRANKFORD AVE,19125,39.9748102,-75.1329442
121,Ben Barkan Park,8,4936-58 SPRUCE ST,19143,39.9538314,-75.2216377
122,Fitler Square,5,2301-23 PINE ST,19103,39.9475800,-75.1796400
123,Triangle Park,8,5425R-65 UPLAND WAY,19131,39.9829610,-75.2316050
124,Cianfrani Park,7,721 S 08TH ST,19147,39.9406810,-75.1553790
125,Merritt Square,3,1321 STEINBER ST,19124,40.0040106,-75.1029776
126,La Noce Park,4,5119 ROCHELLE AVE,19128,40.0177270,-75.2107230
127,Mario Lanza Park,7,214 CATHARINE ST,19147,39.9374030,-75.1472780
128,Mollbore Terrace Park,7,1226 MOLLBORE TER,19148,39.9156970,-75.1682250
129,Kopernicus Triangle,5,1716-34 RACE ST,19103,39.9567600,-75.1684490
130,Ross Park,3,1000 W GLENWOOD AVE,19133,39.9993284,-75.1466810
131,Weinberg Park,7,2201-09 S 06TH ST,19148,39.9212350,-75.1565800
132,Louis Kahn Park,5,328-38 S 11TH ST,19107,39.9508301,-75.1585066
