211,2710891.64666853,256651.17392490,124018,Chevere Mini Market #1,KE&J Mini Market,1443 E Luzerne St,19124,Healthy Corner Store,40.0074580,-75.0993110
212,2720020.25760295,272736.12796254,149005,Chopan Food Market,Chopan's Food Market,2028 Cottman Ave,19149,Healthy Corner Store,40.0503780,-75.0651750
213,2701285.58953723,251701.30842183,133009,Chris Grocery Store,Raquel Grocery,201 West Cambria St,19133,Healthy Corner Store,39.9946324,-75.1343262
214,2682635.07923926,238750.67347590,104023,City Food Market,City Food Market,401 N 40th St,19104,Healthy Corner Store,39.9605220,-75.2018480
215,2676057.65203018,231594.42603665,143024,Cjs Mini Market,CJ Mini Mart,5456 Warrington Ave,19143,Healthy Corner Store,39.9408350,-75.2265690
216,2708423.87612647,252844.70750612,134020,Cleotilde Grocery,Grocery Benny's,3339 Jasper St,19134,Healthy Corner Store,39.9968567,-75.1086052
217,2694079.37238332,272467.30398706,138046,CNA Tropical Market,$,6402 Wister St,19138,Healthy Corner Store,40.0526562,-75.1577461
218,2695387.17025553,269445.07316005,140022,Collado Grocery,Jhonny's Food Mart,1956 Nedro Avenue,19141,Healthy Corner Store,40.0434780,-75.1537580
219,2674716.95816636,247287.44729526,131008,Community Mini Market,$,1801 Georges Ln,19131,Healthy Corner Store,39.9846390,-75.2293000
1,2693670.45527218,223058.14028599,148128,10th Ave Sandwiches,$,2654 S 10th St,19148,Healthy Corner Store,39.9161519,-75.1646520
2,2706197.28127426,266302.46120960,120001,"1111 M&S Gas, Inc.",$,5570 Rising Sun Ave,19120,Healthy Corner Store,40.0343300,-75.1153960
3,2689923.01982340,252297.22335464,132001,27th Food Market,Martinez Grocery,2655 W Sterner St,19132,Healthy Corner Store,39.9972060,-75.1752910
4,2674987.37246022,241703.16029028,131002,54 & Wyalusing Food Market,$,5414 Wyalusing Ave,19131,Healthy Corner Store,39.9689640,-75.2290140
5,2674708.22253726,239758.91943890,139005,55th Street Food Market,$,5501 Race Street,19139,Healthy Corner Store,39.9639838,-75.2303552
6,2673047.28229741,226749.75177707,142001,8 Brothers Supermarket,8 Brother Food Market,1930 S 65Th St,19142,Healthy Corner Store,39.9281450,-75.2377190
